Id2,Geography,Id,Population Group,Estimate; SEX AND AGE - Total population,Margin of Error; SEX AND AGE - Total population,Estimate; SEX AND AGE - Total population - Male,Margin of Error; SEX AND AGE - Total population - Male,Estimate; SEX AND AGE - Total population - Female,Margin of Error; SEX AND AGE - Total population - Female,Estimate; SEX AND AGE - Under 5 years,Margin of Error; SEX AND AGE - Under 5 years,Estimate; SEX AND AGE - 5 to 17 years,Margin of Error; SEX AND AGE - 5 to 17 years,Estimate; SEX AND AGE - 18 to 24 years,Margin of Error; SEX AND AGE - 18 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Margin of Error; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Margin of Error; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Margin of Error; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 64 years,Margin of Error; SEX AND AGE - 55 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Margin of Error; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 years and over,Margin of Error; SEX AND AGE - 75 years and over,Estimate; SEX AND AGE - Median age (years),Margin of Error; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - Under 18 years,Margin of Error; SEX AND AGE - Under 18 years,Estimate; SEX AND AGE - Under 18 years - Male,Margin of Error; SEX AND AGE - Under 18 years - Male,Estimate; SEX AND AGE - Under 18 years - Female,Margin of Error; SEX AND AGE - Under 18 years - Female,Estimate; SEX AND AGE - 18 years and over,Margin of Error; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 18 years and over - Male,Margin of Error; SEX AND AGE - 18 years and over - Male,Estimate; SEX AND AGE - 18 years and over - Female,Margin of Error; SEX AND AGE - 18 years and over - Female,Estimate; SEX AND AGE - 18 to 34 years,Margin of Error; SEX AND AGE - 18 to 34 years,Estimate; SEX AND AGE - 18 to 34 years - Male,Margin of Error; SEX AND AGE - 18 to 34 years - Male,Estimate; SEX AND AGE - 18 to 34 years - Female,Margin of Error; SEX AND AGE - 18 to 34 years - Female,Estimate; SEX AND AGE - 35 to 64 years,Margin of Error; SEX AND AGE - 35 to 64 years,Estimate; SEX AND AGE - 35 to 64 years - Male,Margin of Error; SEX AND AGE - 35 to 64 years - Male,Estimate; SEX AND AGE - 35 to 64 years - Female,Margin of Error; SEX AND AGE - 35 to 64 years - Female,Estimate; SEX AND AGE - 65 years and over,Margin of Error; SEX AND AGE - 65 years and over,Estimate; SEX AND AGE - 65 years and over - Male,Margin of Error; SEX AND AGE - 65 years and over - Male,Estimate; SEX AND AGE - 65 years and over - Female,Margin of Error; SEX AND AGE - 65 years and over - Female,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school diploma,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school diploma,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher,Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher,"Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher","Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher",Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,"Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher","Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher",Estimate; FERTILITY - Women 15 to 50 years,Margin of Error; FERTILITY - Women 15 to 50 years,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households,Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars),Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars)
22,Louisiana,12,Asian alone (400-499),78675,2378,48.5,2,51.5,2,4.9,1.1,16.9,1.6,10.7,1.7,18.3,2.5,19.1,2.3,10.3,1.8,11.2,1.4,7,1,1.7,0.6,34.2,1.7,17155,1439,50,5.8,50,5.8,61520,1868,48.1,1.6,51.9,1.6,22804,2039,51,3.4,49,3.4,31862,1883,47.2,3.1,52.8,3.1,6854,853,42.2,5.1,57.8,5.1,53077,1810,23.1,3.6,20.9,3.9,14,3,22,3,20,3.3,76.9,3.6,78.5,5.1,75.5,4.1,42,4.4,45.1,5.9,39.1,4.4,23486,1460,22492,1776,63293,4877
23,Maine,2,White alone,1260278,1558,48.9,0.1,51.1,0.1,4.5,0.1,14,0.1,8.3,0.1,11.3,0.1,11.6,0.1,15.4,0.1,16,0.1,10.9,0.1,8,0.1,45.2,0.1,233732,761,51.5,0.3,48.5,0.3,1026546,1375,48.3,0.1,51.7,0.1,246302,1136,50,0.3,50,0.3,541801,816,48.8,0.1,51.2,0.1,238443,432,45.2,0.1,54.8,0.1,922307,1513,7.9,0.4,32.6,0.8,30.1,0.7,19.4,0.6,10,0.4,92.1,0.4,90.7,0.6,93.3,0.5,29.5,0.7,28.1,0.9,30.7,0.9,273888,1526,529425,4737,50077,905
24,Maryland,2,White alone,3432582,12913,49.1,0.1,50.9,0.1,5.3,0.1,14.8,0.1,8.8,0.1,13.1,0.1,11.9,0.1,15.1,0.1,14.2,0.1,9.4,0.1,7.4,0.1,42,0.2,689391,5800,50.8,0.4,49.2,0.4,2743191,8793,48.7,0.1,51.3,0.1,749922,4760,51.1,0.2,48.9,0.2,1417600,5706,49.2,0.1,50.8,0.1,575669,1740,44,0.1,56,0.1,2442627,7953,8.7,0.4,24.9,0.5,24.4,0.5,22.6,0.4,19.4,0.4,91.3,0.4,90.4,0.5,92.1,0.4,42,0.4,42.5,0.5,41.5,0.6,784904,4707,1329132,7621,81915,919
24,Maryland,4,Black or African American alone,1774618,8851,46.7,0.1,53.3,0.1,6.5,0.1,17.8,0.2,10.6,0.2,14.3,0.2,13.3,0.2,15.1,0.1,12,0.1,6.6,0.1,3.9,0.1,35.7,0.2,431500,4897,50.8,0.5,49.2,0.5,1343118,6109,45.3,0.1,54.7,0.1,440511,4542,48.2,0.4,51.8,0.4,716209,3755,45.1,0.2,54.9,0.2,186398,1502,39.5,0.4,60.5,0.4,1155799,6107,10.7,0.5,30.8,0.9,31.2,0.8,15.8,0.6,11.5,0.5,89.3,0.5,87.9,0.8,90.4,0.6,27.2,0.8,24.9,1,29.1,1,481908,4294,628779,6983,59346,1596
24,Maryland,12,Asian alone (400-499),369996,4570,47.5,0.4,52.5,0.4,5.5,0.3,16,0.6,8.6,0.3,16.4,0.5,17.9,0.4,14.1,0.3,10.7,0.3,7.1,0.3,3.7,0.3,37,0.4,79463,3061,51.3,1.6,48.7,1.6,290533,2830,46.5,0.4,53.5,0.4,92336,2191,47.4,0.9,52.6,0.9,158173,1959,46.3,0.6,53.7,0.6,40024,1405,44.9,1.2,55.1,1.2,258695,2569,8.6,1.2,12.8,1.1,15.2,1.3,29.8,1.5,33.7,1.6,91.4,1.2,92.2,1.3,90.8,1.3,63.4,1.7,66.2,2.3,61.1,2.1,107537,1919,114501,2914,94344,4022
24,Maryland,70,Some other race alone,209461,13474,54.1,1.4,45.9,1.4,10.9,0.9,20.8,1.3,10.2,0.8,19.4,1.5,19.1,1.4,10.1,1.2,5.5,0.7,3,0.6,1,0.3,29.2,0.9,66354,6182,54.2,3.2,45.8,3.2,143107,8675,54,1.5,46,1.5,62139,5402,56,2.6,44,2.6,72654,5348,53.2,1.8,46.8,1.8,8314,1504,46.5,8.8,53.5,8.8,121659,7484,45,3.6,24,3.1,16.4,2.1,9.3,1.7,5.3,1.4,55,3.6,50.9,3.8,59.8,4.5,14.6,2.2,12.6,2.4,17,3.1,56539,4107,45731,2896,58343,4148
25,Massachusetts,2,White alone,5347420,13679,48.5,0.1,51.5,0.1,4.7,0.1,14.1,0.1,9.6,0.1,12.9,0.1,11.9,0.1,15.3,0.1,14.4,0.1,9.4,0.1,7.7,0.1,42.6,0.2,1005390,6843,51.2,0.2,48.8,0.2,4342030,9141,47.8,0.1,52.2,0.1,1206776,5749,50,0.2,50,0.2,2220224,5730,48.7,0.1,51.3,0.1,915030,1939,42.9,0.1,57.1,0.1,3826090,7581,8,0.2,25,0.4,24,0.3,24.6,0.4,18.4,0.3,92,0.2,91.6,0.3,92.3,0.3,42.9,0.5,42.8,0.6,43.1,0.5,1264726,6176,2122455,9300,73614,938
25,Massachusetts,4,Black or African American alone,477527,8002,48.2,0.5,51.8,0.5,7.2,0.4,18,0.5,12.9,0.5,15.3,0.5,13.6,0.5,13.5,0.4,10.5,0.4,5.6,0.3,3.5,0.2,32.8,0.5,120300,4690,50.2,1.4,49.8,1.4,357227,5353,47.6,0.5,52.4,0.5,134442,3622,49,1.1,51,1.1,179454,3464,48,0.8,52,0.8,43331,1266,41.2,1.5,58.8,1.5,295691,4408,16.2,1.3,29.2,1.7,31.3,1.5,14.1,1,9.2,1.1,83.8,1.3,85.5,1.5,82.3,1.7,23.3,1.4,22.8,1.7,23.7,2,133118,2940,158820,4500,42114,2137
25,Massachusetts,12,Asian alone (400-499),413079,4865,47.7,0.5,52.3,0.5,5.9,0.4,15.1,0.4,12.8,0.4,20,0.5,16.8,0.4,12.6,0.3,8.8,0.2,4.9,0.2,3.2,0.2,33,0.4,86371,3004,49.1,1.4,50.9,1.4,326708,2858,47.3,0.4,52.7,0.4,135155,2195,47,0.7,53,0.7,157872,2314,47.9,0.6,52.1,0.6,33681,963,45.8,1.1,54.2,1.1,274016,2887,16.2,1.3,14.6,1.3,11.6,1.1,24.7,1.4,32.8,1.7,83.8,1.3,85.8,1.8,82,1.3,57.5,2.1,60,2.7,55.3,2.2,130515,2128,129604,3499,81505,2952
25,Massachusetts,70,Some other race alone,279928,13749,49,1.2,51,1.2,8.5,0.7,20.6,1.2,14.7,1,18.6,1.2,14.4,1.1,11.4,0.9,6.9,0.7,3,0.5,1.9,0.4,27.7,0.7,81420,6555,52.2,2.2,47.8,2.2,198508,9383,47.7,1.4,52.3,1.4,93302,5640,51,2.4,49,2.4,91662,5565,46.2,2,53.8,2,13544,1653,34.5,5.2,65.5,5.2,157295,7354,36.3,2.5,32.3,2.3,20.3,2,7.6,1.2,3.6,0.9,63.7,2.5,60.2,3.5,66.9,2.8,11.1,1.5,8.7,2.3,13.3,2.1,84276,4769,86390,4605,30768,1512
26,Michigan,2,White alone,7816586,10212,49.4,0.1,50.6,0.1,5.2,0.1,15.5,0.1,9.5,0.1,11.7,0.1,11.7,0.1,14.6,0.1,14.7,0.1,9.6,0.1,7.4,0.1,42.2,0.1,1617160,5644,51.2,0.1,48.8,0.1,6199426,5914,48.9,0.1,51.1,0.1,1655846,3718,51,0.1,49,0.1,3212053,4112,49.7,0.1,50.3,0.1,1331527,1568,44.5,0.1,55.5,0.1,5460617,5395,8.8,0.2,30.1,0.3,33,0.3,17.3,0.2,10.8,0.2,91.2,0.2,90.6,0.3,91.7,0.2,28.1,0.3,28.1,0.3,28.1,0.4,1741666,4777,3123350,11151,53174,508
26,Michigan,4,Black or African American alone,1375194,8062,47.1,0.2,52.9,0.2,7,0.2,18.7,0.3,12.7,0.2,13.1,0.2,12.7,0.1,12.8,0.1,11.7,0.1,6.7,0.1,4.5,0.1,33.8,0.3,354619,5769,50.3,0.5,49.7,0.5,1020575,4421,46,0.2,54,0.2,354547,3723,49,0.5,51,0.5,511800,2500,45.8,0.3,54.2,0.3,154228,1283,40.1,0.3,59.9,0.3,845834,4092,15.7,0.6,31.3,0.7,36.1,0.9,10.1,0.5,6.8,0.4,84.3,0.6,81.3,0.9,86.8,0.8,16.9,0.6,13.8,0.8,19.5,0.9,363754,3006,514391,5687,29697,846
26,Michigan,12,Asian alone (400-499),281404,4069,48.5,0.6,51.5,0.6,5.9,0.3,18.1,0.6,12.4,0.5,16.6,0.5,17.5,0.6,13,0.5,8.4,0.4,5.5,0.4,2.5,0.2,33,0.5,67557,2471,50.6,1.6,49.4,1.6,213847,2714,47.8,0.5,52.2,0.5,81528,2003,49.5,1.1,50.5,1.1,109567,2341,47.6,0.7,52.4,0.7,22752,1026,42.8,1.8,57.2,1.8,179078,2635,11.2,1.2,11.2,1.2,14.2,1.2,28.1,1.5,35.3,1.6,88.8,1.2,90.6,1.5,87.2,1.5,63.4,1.9,68.8,2.4,58.5,2.3,84611,1717,86208,2472,72206,3603
26,Michigan,70,Some other race alone,121859,9960,52.4,1.7,47.6,1.7,9,1.4,25.1,2.3,13.6,1.8,15,1.8,16.2,1.8,11.7,1.5,5.6,1,2.4,0.5,1.4,0.5,26.6,1.8,41580,5768,54.5,2.9,45.5,2.9,80279,5456,51.3,1.9,48.7,1.9,34826,3310,52.8,3.3,47.2,3.3,40847,3376,50.1,3,49.9,3,4606,947,50.3,7.6,49.7,7.6,63713,4965,35.8,3.5,28.1,2.4,21.9,2.6,10.2,1.7,4.1,1.1,64.2,3.5,62.2,4.7,66.4,4.5,14.3,1.8,12.7,2.4,16,2.8,34602,2798,33523,2618,41522,4799
27,Minnesota,2,White alone,4606959,7887,49.6,0.1,50.4,0.1,5.7,0.1,15.5,0.1,8.7,0.1,13,0.1,12.1,0.1,14.6,0.1,14.3,0.1,8.8,0.1,7.3,0.1,40.9,0.1,976020,3936,51.3,0.2,48.7,0.2,3630939,4834,49.1,0.1,50.9,0.1,1002532,3346,50.7,0.1,49.3,0.1,1887730,3408,50.1,0.1,49.9,0.1,740677,804,44.7,0.1,55.3,0.1,3228633,4191,5.6,0.2,26,0.3,33.1,0.3,23.7,0.3,11.6,0.2,94.4,0.2,93.7,0.2,95,0.2,35.3,0.4,34.1,0.5,36.4,0.5,1041021,3193,1887884,6743,64281,802
27,Minnesota,4,Black or African American alone,312432,5955,51.3,0.8,48.7,0.8,9.3,0.5,24.9,0.8,11.6,0.6,17.3,0.7,13.6,0.5,11.3,0.4,7.5,0.3,3.1,0.3,1.4,0.2,27.5,0.9,107017,4426,51.5,1.5,48.5,1.5,205415,3089,51.2,0.9,48.8,0.9,90427,2568,52.4,1.7,47.6,1.7,101121,2183,51.4,1.1,48.6,1.1,13867,899,41.6,3,58.4,3,169043,2828,19.1,1.8,27.9,2.1,34.4,1.9,10.9,1.2,7.7,1.2,80.9,1.8,85.4,2,76.4,2.8,18.6,1.6,20.4,2.2,16.8,2.1,83300,2445,100384,3293,27026,2683
27,Minnesota,12,Asian alone (400-499),250352,3570,48.3,0.8,51.7,0.8,7.7,0.5,21,0.5,12.2,0.5,21,0.8,16,0.7,10.2,0.5,6.6,0.4,3.2,0.3,2.1,0.3,29.4,0.3,71749,2431,50.2,2,49.8,2,178603,2147,47.5,0.7,52.5,0.7,83156,1971,48.5,1,51.5,1,82246,1831,47.7,1.2,52.3,1.2,13201,917,39.7,4.2,60.3,4.2,148118,1981,20.8,1.7,15,1.7,21.2,1.7,23,1.6,20.1,1.7,79.2,1.7,81.9,2,76.8,2.1,43,1.7,45.2,2.6,41.1,2.2,77931,2015,71089,2682,67944,4505
27,Minnesota,70,Some other race alone,85069,7176,53.3,2.3,46.7,2.3,8.3,1.5,28.4,1.9,10.6,1.9,18.2,2.2,16.5,1.8,10,1.7,5.3,1.3,1.9,0.7,1,0.6,26.5,1.2,31184,3620,51.7,3.9,48.3,3.9,53885,4448,54.2,2.6,45.8,2.6,24499,3068,58.5,4.4,41.5,4.4,26980,2878,51.9,4.2,48.1,4.2,2406,785,36.9,16.7,63.1,16.7,44839,4120,39.5,4.1,29.7,4.2,18.5,3.1,8.8,2.6,3.5,1.6,60.5,4.1,59.3,5.8,61.8,5.2,12.3,2.9,13.8,4.8,10.5,2.8,21645,2584,21163,2199,40064,4075
28,Mississippi,2,White alone,1761195,4009,49.3,0.1,50.7,0.1,5.6,0.1,15.9,0.1,9.2,0.1,12,0.2,12.5,0.2,13.5,0.1,13.5,0.1,10.2,0.1,7.6,0.1,40.9,0.3,378968,2230,51.5,0.6,48.5,0.6,1382227,2792,48.7,0.1,51.3,0.1,373549,2718,51.1,0.3,48.9,0.3,694917,3201,49.5,0.2,50.5,0.2,313761,686,44.1,0.1,55.9,0.1,1219947,3239,13.5,0.5,29.6,0.8,32.5,0.7,15.3,0.6,9,0.4,86.5,0.5,85,0.8,87.9,0.6,24.3,0.7,23.5,1,25.1,0.8,390633,3156,681180,6542,48591,1185
28,Mississippi,4,Black or African American alone,1132556,5543,47.2,0.3,52.8,0.3,7.2,0.2,20.9,0.2,12,0.3,13.9,0.4,13.4,0.3,11.8,0.3,11.3,0.2,5.6,0.2,3.8,0.2,32.4,0.3,319010,3608,51.2,0.9,48.8,0.9,813546,3599,45.7,0.2,54.3,0.2,292633,3586,47.8,0.5,52.2,0.5,414083,4061,45.8,0.4,54.2,0.4,106830,2063,39.3,0.9,60.7,0.9,678161,4459,23.4,0.7,30.8,1,30.8,1,9,0.6,6.1,0.7,76.6,0.7,73.2,1.2,79.4,0.9,15.1,0.9,10.3,1.2,19,1.2,306284,3234,387926,6040,27252,678
29,Missouri,2,White alone,4990271,5990,49.2,0.1,50.8,0.1,5.6,0.1,15.8,0.1,9.2,0.1,12.8,0.1,12,0.1,13.9,0.1,13.8,0.1,9.4,0.1,7.4,0.1,40.6,0.2,1070855,3600,51.2,0.2,48.8,0.2,3919416,3807,48.6,0.1,51.4,0.1,1099642,2957,50.4,0.1,49.6,0.1,1981232,2730,49.6,0.1,50.4,0.1,838542,1371,44.2,0.1,55.8,0.1,3458384,4398,10.3,0.3,31.8,0.4,29.6,0.4,17.9,0.3,10.4,0.3,89.7,0.3,89.2,0.4,90.1,0.3,28.4,0.4,27.8,0.5,28.9,0.5,1135368,4022,1986239,10271,51259,434
29,Missouri,4,Black or African American alone,711601,6936,46.9,0.4,53.1,0.4,7.6,0.3,19.6,0.4,12.4,0.3,14,0.4,12.7,0.3,12.7,0.3,10.8,0.2,6.3,0.2,3.9,0.1,32.2,0.3,193722,4793,49.5,1.2,50.5,1.2,517879,3499,46,0.4,54,0.4,187840,3146,48.5,0.8,51.5,0.8,257520,3142,46,0.5,54,0.5,72519,1675,39.6,0.9,60.4,0.9,429911,3151,14.6,0.9,32.4,1.4,35.8,1.4,10.2,0.9,7,0.7,85.4,0.9,83.6,1.3,86.9,1.1,17.3,1.1,14,1.5,20,1.5,190187,2833,263420,4730,31617,1038
29,Missouri,12,Asian alone (400-499),107426,3866,47.7,1.7,52.3,1.7,5.9,0.7,15.6,1.5,13,1.2,19.4,1.6,17.2,1.4,13.5,1.5,8.5,1,4.6,0.9,2.5,0.6,32.6,0.9,23064,2204,55.8,4.3,44.2,4.3,84362,2721,45.5,1.7,54.5,1.7,34776,2252,49.7,3,50.3,3,42049,2069,43,2.5,57,2.5,7537,777,40.2,4.8,59.8,4.8,70420,2536,12.5,2.8,13.2,2.1,15.6,2.2,26.8,3,31.8,2.9,87.5,2.8,91.6,3,84.1,3.6,58.7,3.3,68.2,4.5,50.9,4,35275,2111,34584,2026,63179,6331
29,Missouri,70,Some other race alone,73680,6990,54.1,2.3,45.9,2.3,11.7,1.9,26.4,2.7,13.6,2.1,17.5,2.3,14,1.9,8.6,1.3,5.4,1.4,2.1,0.7,0.6,0.4,23.9,1.6,28088,3749,51.8,4.2,48.2,4.2,45592,4321,55.6,2.8,44.4,2.8,22917,3074,55.3,3.9,44.7,3.9,20653,2048,57,4.3,43,4.3,2022,599,45.2,12.5,54.8,12.5,35570,3332,33.5,4.7,29.2,4.6,22.3,4.3,8.8,2.6,6.2,2.2,66.5,4.7,69.1,5.6,63.3,6.7,15,3.5,14.2,4.7,16.1,5.8,17931,1981,19325,1923,27683,5431
30,Montana,2,White alone,914571,1553,50.3,0.1,49.7,0.1,5.4,0.1,15.1,0.1,9.7,0.2,12.2,0.1,11.4,0.1,13.1,0.1,15.4,0.1,10.3,0.1,7.5,0.1,41.6,0.3,186998,831,51.3,0.4,48.7,0.4,727573,1176,50,0.1,50,0.1,200128,1354,51.6,0.3,48.4,0.3,364335,1405,50.2,0.2,49.8,0.2,163110,483,47.7,0.1,52.3,0.1,639265,1708,6.7,0.5,30.3,0.8,32.5,0.9,20.4,0.6,10.2,0.5,93.3,0.5,93.4,0.7,93.3,0.6,30.5,0.8,30.2,1.1,30.9,1.1,195061,1379,381133,3389,47651,1314
30,Montana,6,"American Indian and Alaska Native alone (300, A01-Z99)",70035,2384,50.2,1.3,49.8,1.3,10,0.9,23.7,1.2,12.7,1.6,14.9,2,10.6,1.2,11.2,1.4,9.7,1.1,5,0.7,2.2,0.6,26.9,1.3,23636,1301,51.7,2.8,48.3,2.8,46399,1604,49.5,1.5,50.5,1.5,19305,1443,49.6,3,50.4,3,22049,1503,50.1,3,49.9,3,5045,551,46.4,5.2,53.6,5.2,37529,1631,16.9,2.6,36,3.9,36.3,4.4,8.7,1.6,2.2,1,83.1,2.6,80.5,3.9,85.7,3,10.9,1.8,7.6,2.4,14.1,3.2,17341,1159,19153,1318,27937,3569
31,Nebraska,2,White alone,1660976,5151,49.8,0.1,50.2,0.1,6.5,0.1,16.9,0.1,9.7,0.1,13.3,0.1,12.1,0.1,12.9,0.1,13.1,0.1,8.3,0.1,7.3,0.1,38,0.2,387179,2733,51.6,0.3,48.4,0.3,1273797,2989,49.2,0.1,50.8,0.1,381724,2304,50.8,0.3,49.2,0.3,633140,2153,50.2,0.1,49.8,0.1,258933,846,44.3,0.2,55.7,0.2,1112442,2835,8.4,0.4,27.6,0.6,34,0.5,20.8,0.5,9.2,0.4,91.6,0.4,90.8,0.5,92.4,0.5,30,0.6,29.4,0.7,30.6,0.7,374947,2582,675342,4357,54628,726
31,Nebraska,4,Black or African American alone,88620,3209,50.7,1.3,49.3,1.3,9.9,1.4,22.7,1.2,12.3,1.1,16.4,1.4,12,1.1,10.5,1,9.5,0.7,4.3,0.5,2.3,0.2,28,1,28899,2189,50.9,3,49.1,3,59721,1783,50.5,1.3,49.5,1.3,25487,1533,52.6,2.5,47.4,2.5,28353,1397,50.6,1.8,49.4,1.8,5881,503,41.4,3.9,58.6,3.9,48801,1360,15.1,2.5,27.2,3.1,33.5,3,16.2,2.6,8,2,84.9,2.5,83.5,3.8,86.2,3.2,24.2,3,24,4,24.4,3.9,21562,1110,31234,1945,30774,1856
32,Nevada,2,White alone,1931264,12232,50.9,0.2,49.1,0.2,5.4,0.1,15.6,0.2,8,0.1,13.5,0.2,13.2,0.2,13.9,0.2,13.5,0.1,10.4,0.1,6.4,0.1,40.9,0.3,405892,5959,51.1,0.5,48.9,0.5,1525372,8710,50.9,0.2,49.1,0.2,415589,5077,52,0.5,48,0.5,783495,5212,51.3,0.3,48.7,0.3,326288,1554,48.4,0.2,51.6,0.2,1370429,8047,12.8,0.5,28.2,0.7,34.7,0.6,15.6,0.5,8.7,0.4,87.2,0.5,87.1,0.6,87.3,0.6,24.3,0.6,25.3,0.8,23.3,0.8,429964,4672,745536,6437,54099,865
32,Nevada,4,Black or African American alone,242994,3963,49.8,0.7,50.2,0.7,7.2,0.5,19.1,0.7,10.8,0.5,16,0.4,13.9,0.5,12.8,0.4,10.1,0.2,6.2,0.2,3.8,0.2,33,0.5,63963,2739,50.7,1.5,49.3,1.5,179031,2583,49.5,0.7,50.5,0.7,65267,1986,49.6,1.4,50.4,1.4,89569,1823,50.7,0.8,49.3,0.8,24195,516,44.9,1.3,55.1,1.3,152752,2197,13.7,1.7,31.1,2.1,40.9,2.4,7.7,1.1,6.6,1.1,86.3,1.7,85.5,2.7,87.1,2.2,14.3,1.6,13,2.1,15.6,2.2,63482,1781,88985,3194,36168,1629
32,Nevada,12,Asian alone (400-499),221841,4609,44.8,0.8,55.2,0.8,3.5,0.5,13.4,0.7,9.9,0.7,14.5,0.7,15.5,0.6,14.9,0.6,14,0.4,9.4,0.3,4.8,0.2,41,0.7,37628,2385,51.8,2.4,48.2,2.4,184213,3550,43.4,0.7,56.6,0.7,54174,2377,47.4,1.7,52.6,1.7,98488,2309,42.1,0.9,57.9,0.9,31551,627,40.5,0.8,59.5,0.8,162227,3204,11.2,1.6,20.8,2.1,30.5,1.9,28.4,2.2,9,1.3,88.8,1.6,89.3,2.3,88.3,1.6,37.4,2.3,37.1,3.1,37.7,2.9,64089,2699,70620,2724,58874,3327
32,Nevada,70,Some other race alone,268796,12699,50.4,1.2,49.6,1.2,8.7,0.9,23,1.3,13.7,1.1,17.4,1.2,14.8,1.2,12.6,1.2,6.5,0.8,2.4,0.5,0.9,0.3,27.6,0.8,85179,5628,51.8,2.2,48.2,2.2,183617,9109,49.7,1.4,50.3,1.4,83604,5045,50.6,2.4,49.4,2.4,91316,5149,50.2,2.1,49.8,2.1,8697,1580,35.9,7,64.1,7,146805,8003,40.7,2.1,32.7,1.7,19.7,1.8,5.2,1.3,1.6,0.6,59.3,2.1,57.9,2.6,60.6,3.4,6.8,1.4,5.8,1.6,7.9,1.9,81815,4444,71450,3885,41947,2468
33,New Hampshire,2,White alone,1239410,2714,49.3,0.1,50.7,0.1,4.6,0.1,14.7,0.1,9.4,0.1,11.4,0.1,11.7,0.1,16.1,0.1,15.4,0.1,9.7,0.1,6.9,0.1,43.7,0.2,239945,1413,51.2,0.3,48.8,0.3,999465,1849,48.8,0.1,51.2,0.1,257589,1314,50.6,0.2,49.4,0.2,536451,1203,49.4,0.1,50.6,0.1,205425,508,45.1,0.1,54.9,0.1,882875,1699,7.6,0.4,28.9,0.7,28.8,0.9,21.7,0.7,13.1,0.5,92.4,0.4,91.2,0.7,93.6,0.5,34.7,0.8,33.8,1,35.6,1.1,279950,1811,494366,4729,66896,1393
34,New Jersey,2,White alone,6053656,22978,49,0.1,51,0.1,5.2,0.1,15.5,0.1,8.3,0.1,11.6,0.1,12.1,0.1,15.5,0.1,14.4,0.1,9.4,0.1,8.1,0.1,43.1,0.2,1251214,9826,51.4,0.3,48.6,0.3,4802442,15812,48.4,0.1,51.6,0.1,1205389,8826,51.4,0.2,48.6,0.2,2542579,9906,49.3,0.1,50.7,0.1,1054474,2631,42.7,0.1,57.3,0.1,4298829,13885,9.3,0.2,29,0.4,23.5,0.3,23.7,0.4,14.5,0.3,90.7,0.2,90.3,0.3,91.1,0.3,38.2,0.4,39,0.5,37.5,0.5,1342772,8578,2288893,10923,77816,983
